2,0,0
1,0,1
0,0,2
0,1,3
1,1,4
2,1,5
2,2,6
1,2,7
0,2,8
0,3,9
1,3,10
2,3,11
3,3,12
4,3,13
5,3,14
6,3,15
7,3,16
7,4,17
7,5,18
6,5,19
6,4,20
5,4,21
5,5,22
4,5,23
4,4,24
3,4,25
3,5,26
2,5,27
2,4,28
1,4,29
0,4,30
0,5,31
1,5,32
-1,-1,33
2,6,34
1,6,35
0,6,36
0,7,37
1,7,38
2,7,39
3,7,40
4,7,41
5,7,42
6,7,43
7,7,44
8,7,45
9,7,46
9,8,47
8,8,48
7,8,49
-1,-1,50
-1,-1,51
-1,-1,52
-1,-1,53
-1,-1,54
-1,-1,55
-1,-1,56
-1,-1,57
-1,-1,58
-1,-1,59
-1,-1,60
-1,-1,61
-1,-1,62
-1,-1,63
13,0,64
12,0,65
11,0,66
11,1,67
11,2,68
12,2,69
12,1,70
13,1,71
14,1,72
14,2,73
13,2,74
13,3,75
12,3,76
11,3,77
11,4,78
12,4,79
13,4,80
13,5,81
12,5,82
11,5,83
11,6,84
12,6,85
13,6,86
13,7,87
12,7,88
11,7,89
11,8,90
12,8,91
13,8,92
13,9,93
12,9,94
11,9,95
-1,-1,96
9,9,97
8,9,98
7,9,99
6,9,100
5,9,101
4,9,102
3,9,103
2,9,104
1,9,105
0,9,106
0,8,107
1,8,108
2,8,109
3,8,110
4,8,111
5,8,112
6,8,113
-1,-1,114
-1,-1,115
-1,-1,116
-1,-1,117
-1,-1,118
-1,-1,119
-1,-1,120
-1,-1,121
-1,-1,122
-1,-1,123
-1,-1,124
-1,-1,125
-1,-1,126
-1,-1,127
